start_date,end_date,symbol,name,holding_days,period_return,contribution_to_total_return,max_drawdown_during_holding
2018-04-30,2018-04-30,NDX,纳指ETF国泰,1,-0.007628820485268584,-0.029413142223815747,-0.10706670576592647
2018-05-01,2018-05-03,511880,银华日利ETF,3,9.851542267291791e-05,0.00037693146750461537,-0.10706670576592647
2018-05-04,2018-05-04,399439.SZ,国证石油天然气指数,1,0.00024058429850248864,0.0009205941971783815,-0.1067638911711758
2018-05-07,2018-05-18,NDX,纳指ETF国泰,10,0.014349560735375633,0.05492170758985182,-0.10064609114072409
2018-05-21,2018-05-24,399439.SZ,国证石油天然气指数,4,-0.03356957172505959,-0.13032834217147915,-0.12436217852214182
2018-05-25,2018-05-25,511880,银华日利ETF,1,0.00029488376664876803,0.0011064060220227212,-0.12410396714312422
2018-05-28,2018-05-28,NDX,纳指ETF国泰,1,0.0,0.0,-0.12410396714312422
2018-05-29,2018-05-30,511880,银华日利ETF,2,0.0001973445911345184,0.000740656674340201,-0.12401790514038702
2018-05-31,2018-06-25,NDX,纳指ETF国泰,18,0.008858460648467847,0.0332533704582354,-0.12501623381722682
2018-06-26,2018-07-09,511880,银华日利ETF,11,0.0014404341061589054,0.005455079029720089,-0.11607510140410526
2018-07-10,2018-07-13,159934,黄金ETF易方达,4,-0.004916841171381914,-0.018647428594915194,-0.11924930281227375
2018-07-16,2018-07-27,NDX,纳指ETF国泰,10,-0.010716096941522424,-0.040441642260367505,-0.12868751266465084
2018-07-30,2018-07-30,980080.CN,国证成长100指数,1,-0.007583374391034181,-0.028312328565667233,-0.13529500146769802
2018-07-31,2018-08-06,399439.SZ,国证石油天然气指数,5,-0.02076084016427715,-0.0769222622472494,-0.1532470037314787
2018-08-07,2018-08-07,NDX,纳指ETF国泰,1,0.0031804988800765432,0.01153961030577122,-0.15055390677514524
2018-08-08,2018-08-17,399439.SZ,国证石油天然气指数,8,-0.036653311408711864,-0.13340994150855146,-0.18168891895502948
2018-08-20,2018-08-20,511880,银华日利ETF,1,8.754795521825898e-05,0.00030697541351543123,-0.18161727749315149
2018-08-21,2018-08-21,399439.SZ,国证石油天然气指数,1,0.004264024847003389,0.014952552385144369,-0.178127673230024
2018-08-22,2018-08-24,511880,银华日利ETF,3,0.00040958663954793195,0.0014424118883518133,-0.1780631981235249
2018-08-27,2018-09-03,NDX,纳指ETF国泰,6,0.02259730973090668,0.07961191937522205,-0.16969241770523846
2018-09-04,2018-09-04,399439.SZ,国证石油天然气指数,1,0.013785410460604997,0.0496644584010526,-0.14762071803368282
2018-09-05,2018-09-10,NDX,纳指ETF国泰,4,-0.022911607565979986,-0.08368114249813141,-0.16909816442663672
2018-09-11,2018-09-13,511880,银华日利ETF,3,0.00024320670096278363,0.0008679234642587907,-0.16708486816716428
2018-09-14,2018-09-24,399439.SZ,国证石油天然气指数,7,0.033052427574431276,0.11798175870201932,-0.16788003495349357
2018-09-25,2018-09-25,NDX,纳指ETF国泰,1,0.0019128862394437451,0.007053797845387955,-0.13776693219222202
2018-09-26,2018-09-30,399439.SZ,国证石油天然气指数,4,0.02414238206403385,0.0891957059196109,-0.1264435937143027
2018-10-01,2018-10-01,511880,银华日利ETF,1,0.0,0.0,-0.1169505720409626
2018-10-02,2018-10-04,NDX,纳指ETF国泰,3,-0.02033234655945182,-0.07693282335119278,-0.13490503903935147
