signal_date,label,symbol,name,kind,score_25,annualized_return_25,r_squared_25,return_10d,qualified,rejection_reason
2014-02-27,纳指ETF国泰,513100,纳指ETF国泰,etf,0.2425467674673754,0.5144242648348687,0.47149169284468617,0.021008403361344685,True,
2014-02-27,黄金ETF易方达,159934,黄金ETF易方达,etf,1.2294731703065076,1.3552803730000829,0.90717256355223,0.03593848085373508,True,
2014-02-28,国证成长100指数,980080.CN,国证成长100指数,index,0.24695364771508937,0.8418588119233694,0.29334330676052656,-0.03462067093127508,False,return_10d_not_positive
2014-02-28,国证价值100指数,980081.CNI,国证价值100指数,index,-0.0013290401852620328,-0.10453099411146272,0.012714316902457279,-0.05797850002368021,False,score_25_not_positive
2014-02-28,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,2.0425748073782977,2.6671368665886224,0.7658305177232373,0.06206139445198233,True,
2014-02-28,纳指ETF国泰,513100,纳指ETF国泰,etf,0.31418106705433757,0.5777572529505894,0.5437942413527896,0.011666666666666714,True,
2014-02-28,黄金ETF易方达,159934,黄金ETF易方达,etf,1.2691420163771017,1.3829788821115439,0.9176871988380364,0.02243116481184626,True,
2014-03-03,国证成长100指数,980080.CN,国证成长100指数,index,0.12162429594920537,0.5703723821199858,0.21323664988326874,-0.03455044845767463,False,return_10d_not_positive
2014-03-03,国证价值100指数,980081.CNI,国证价值100指数,index,-0.012610447727308542,-0.20668100578103044,0.061014062127551116,-0.050966505727394806,False,score_25_not_positive
2014-03-03,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,2.3284086401342425,2.9497719540888823,0.789352084287965,0.06918747786642632,True,
2014-03-03,纳指ETF国泰,513100,纳指ETF国泰,etf,0.3523038974030651,0.6025586339988067,0.5846798593940035,0.0033305578684430515,True,
2014-03-03,黄金ETF易方达,159934,黄金ETF易方达,etf,1.400131181659315,1.491793215420604,0.9385558046425051,0.02332110206329352,True,
2014-03-04,国证成长100指数,980080.CN,国证成长100指数,index,0.045321393415286425,0.35323770562204926,0.12830281901949214,-0.026060395551204873,False,return_10d_not_positive
2014-03-04,国证价值100指数,980081.CNI,国证价值100指数,index,-0.041108289405339386,-0.29061663316410513,0.14145194979988085,-0.04940463408419671,False,score_25_not_positive
2014-03-04,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,2.5006884251028385,3.098663234051724,0.8070216852294109,0.07729262137781734,True,
2014-03-04,纳指ETF国泰,513100,纳指ETF国泰,etf,0.4253290847746675,0.6630770403185977,0.64144746222898,0.01243781094527363,True,
2014-03-04,黄金ETF易方达,159934,黄金ETF易方达,etf,1.3951581117523886,1.4842303674219388,0.9399875803482811,0.022089807680212736,True,
2014-03-05,国证成长100指数,980080.CN,国证成长100指数,index,0.010710588172645412,0.19630747410310967,0.054560266854738915,-0.03785274637301417,False,return_10d_not_positive
2014-03-05,国证价值100指数,980081.CNI,国证价值100指数,index,-0.06859568477470401,-0.3398859840153555,0.20181969248724585,-0.06554642421826606,False,score_25_not_positive
2014-03-05,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,2.500183898743979,3.0796745496790443,0.8118338020504607,0.025227764803224195,True,
2014-03-05,纳指ETF国泰,513100,纳指ETF国泰,etf,0.5378039169997896,0.7465494842231226,0.7203861610854119,0.020850708924103234,True,
2014-03-05,黄金ETF易方达,159934,黄金ETF易方达,etf,1.275072376736714,1.3844902546970732,0.9209688348551793,0.01760933832875522,True,
2014-03-06,国证成长100指数,980080.CN,国证成长100指数,index,0.0011853381015500453,0.08507284289063155,0.013933213717495008,-0.026569822830946777,False,return_10d_not_positive
2014-03-06,国证价值100指数,980081.CNI,国证价值100指数,index,-0.08859617229434653,-0.3648724708811467,0.2428140771497277,-0.0514400743014215,False,score_25_not_positive
2014-03-06,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,2.53505145163348,3.0960299594415783,0.8188071449058973,-0.01604238522302537,False,return_10d_not_positive
2014-03-06,纳指ETF国泰,513100,纳指ETF国泰,etf,0.6490300357507027,0.8175965679848678,0.7938267614679066,0.014107883817427336,True,
2014-03-06,黄金ETF易方达,159934,黄金ETF易方达,etf,1.1177532486938033,1.2487479159914745,0.895099190460979,0.02019004983770989,True,
2014-03-07,国证成长100指数,980080.CN,国证成长100指数,index,3.208793902220295e-06,0.004147892966051003,0.0007735961193992003,-0.022492872141169906,False,return_10d_not_positive
2014-03-07,国证价值100指数,980081.CNI,国证价值100指数,index,-0.10035939894497063,-0.37701097254248217,0.26619755459149663,-0.038344964775635315,False,score_25_not_positive
2014-03-07,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,2.6547477271461455,3.193119536009159,0.8313962873009495,0.036688486725178215,True,
2014-03-07,纳指ETF国泰,513100,纳指ETF国泰,etf,0.6928144103657027,0.8387756315249415,0.8259829975104629,0.010806317539484578,True,
2014-03-07,黄金ETF易方达,159934,黄金ETF易方达,etf,1.0725434008137746,1.2069731249363294,0.8886224379439714,0.02186912289254006,True,
2014-03-10,国证成长100指数,980080.CN,国证成长100指数,index,-0.007594464720123745,-0.15327362973481817,0.0495484104686702,-0.04906215910421019,False,score_25_not_positive
2014-03-10,国证价值100指数,980081.CNI,国证价值100指数,index,-0.1666983097877222,-0.45191597732709965,0.3688701399177682,-0.035791919981139175,False,score_25_not_positive
2014-03-10,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,2.1936835442452547,2.7916714806037866,0.7857957354533714,0.027225290174875072,True,
2014-03-10,纳指ETF国泰,513100,纳指ETF国泰,etf,0.6389874276920483,0.7921192384240543,0.8066808590122537,0.007438016528925617,True,
2014-03-10,黄金ETF易方达,159934,黄金ETF易方达,etf,0.9220417767956346,1.090616679962487,0.8454315743890413,0.006732169193669479,True,
